genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
PCSK9;3,53E-37;-0.0006967442791781413;4,54E+10;6,55E-34
LDLR;2,16E-23;0.0006980922434707857;5,31E+10;2,00E-20
NKPD1;5,51E+02;-0.00033470468082991205;4,64E+10;3,41E+07
SYPL2;3,37E+08;-0.00021511890032934743;4,22E+11;0.001564075233617376
AMIGO1;2,22E+11;-0.0003575232847371763;8,43E+10;0.08240085719968862
APOB;3,42E+11;-7,85E+10;1,89E+11;0.10582089653926811
SNX8;5,10E+11;0.00012485425497575585;3,08E+10;0.13510886339233322
ASGR1;6,10E+11;-0.00030341348777069833;7,57E+09;0.14152072911108898
TOMM40;7,18E+10;0.00019958021690341302;5,03E+10;0.14805641870691486
ZNF212;8,22E+10;-0.00011061434853200974;2,81E+11;0.15249827634732785
ABCG5;9,15E+09;0.0001201409905586524;3,07E+10;0.154396500078962
UGT2B10;0.00014638902716078997;-0.0001858454472936849;4,89E+11;0.20646298951719397
C17orf53;0.00014718137683589793;0.00023826328338661382;6,28E+10;0.20646298951719397
PPWD1;0.0001626923776300813;0.0002406650240151286;6,38E+10;0.20646298951719397
PRPF38A;0.00016689722153254524;0.0003832879394075585;0.0001018143483430893;0.20646298951719397
NT5C3A;0.0002299309466813684;0.0002364739636552483;6,42E+09;0.266662415413717
TM6SF2;0.00025593537255549556;-0.00017219959590048612;4,71E+10;0.27608684906911674
RTN4;0.00026881082116135665;-0.00010134278913357097;2,78E+10;0.27608684906911674
PSMD5;0.00028975138612315844;0.0001645071450954862;4,54E+10;0.27608684906911674
A1CF;0.00033330650556445083;0.00015435395353717514;4,30E+10;0.27608684906911674
SAV1;0.000333519311659985;0.00027632174806352546;7,70E+10;0.27608684906911674
AIFM2;0.00033609147174577244;0.00010456860168057577;2,92E+10;0.27608684906911674
DYM;0.00034220723909192093;-0.00014017137965756626;3,91E+09;0.27608684906911674
FCGRT;0.0003681455169521198;0.00014990319457937464;4,21E+09;0.27850548056928154
KLC4;0.00037522294752274406;0.00013853081538482744;3,89E+10;0.27850548056928154
TRIQK;0.00042294713504323843;-0.0007371481111663123;0.00020909529395803954;0.2880638549763136
SMYD4;0.0004384988872231121;-0.00015886729318190658;4,52E+10;0.2880638549763136
PPM1H;0.0004414141225647685;-0.00019074426559506654;5,43E+11;0.2880638549763136
PRKRA;0.00045019679857259616;-0.00031713309292012997;9,04E+10;0.2880638549763136
RTN2;0.0004943645701596887;0.0002086352200076642;5,99E+10;0.30578096546277284
ABCA8;0.0005200078532340886;8,32E+10;2,40E+10;0.3095567327615275
UFL1;0.0005458423388203317;0.00015065758071192002;4,36E+10;0.3095567327615275
BCAM;0.0005580145237740751;9,54E+10;2,76E+11;0.3095567327615275
LEO1;0.0005671981522899297;-0.0003180294631008302;9,23E+10;0.3095567327615275
DDX56;0.0006152870994838551;-0.00010648214065209165;3,11E+10;0.3262076405149262
CCDC38;0.0006678986683096656;0.00019803129661907283;5,82E+10;0.34426465803205986
ZBTB20;0.0007049346577887263;-0.0002058565637404275;6,08E+11;0.3462741429315893
HOXB8;0.0007091192838650784;0.0007109431286287746;0.00020995917443972418;0.3462741429315893
UBASH3B;0.0007706278381773899;0.00020995850639521653;6,24E+10;0.36666077346717046
MMP28;0.0007994403416180071;-0.0001912864711067715;5,70E+10;0.3708603744765935
LACC1;0.0008889904556759644;-0.00038168514964318515;0.00011484233905539129;0.4016761487878956
SND1;0.0009196817312141665;0.00017076810738606086;5,15E+10;0.4016761487878956
OR6C75;0.0009473959191077983;0.00033842779763058477;0.00010237494755760574;0.4016761487878956
PMM2;0.0009524547610836067;-9,07E+10;2,75E+11;0.4016761487878956
OR8K5;0.0009946501059573797;0.00018774419133509663;5,70E+11;0.4043220851791514
ROCK2;0.0010023073894288082;0.00019847600623671598;6,03E+10;0.4043220851791514
MRGPRX2;0.0010289343085619245;0.00040123479835880337;0.0001222322794003741;0.40623202190798025
EPHA2;0.0010510361534564854;8,34E+10;2,55E+10;0.406313059657053
OR9Q2;0.0010841329954929463;-0.0001818304900342479;5,56E+10;0.41039811244369045
UGT2B11;0.0011058366901371267;0.00011854717633302757;3,63E+11;0.41039811244369045
NAA10;0.001139254993320598;0.0010691667462631655;0.0003285969806822944;0.41451011090307877
LAMA1;0.0012340893247253305;5,03E+09;1,56E+11;0.4403800290308314
CEACAM20;0.0013106179127016198;-0.001327115138264998;0.00041295455542944684;0.4588646412847407
PACS1;0.0014096303506753516;-0.0002372830486047847;7,43E+10;0.46227409183961216
AANAT;0.0014314976743557135;-0.00026412968125657935;8,28E+10;0.46227409183961216
NEDD9;0.001458813662876127;-0.0001247758974547118;3,92E+11;0.46227409183961216
TNFSF4;0.0014614982083039775;0.0006863178114411571;0.00021566837683312286;0.46227409183961216
PDE3B;0.0014920167944401964;-7,74E+10;2,44E+11;0.46227409183961216
SLC35B4;0.0015007235569349982;0.00022697823174864013;7,15E+09;0.46227409183961216
ERBB4;0.0015024153135880817;-0.0001668613920000899;5,26E+10;0.46227409183961216
ZC4H2;0.0015196550766445537;-0.000828507040351129;0.00026127921153317976;0.46227409183961216
ABCG2;0.0015775909531362165;0.00011035591221308997;3,49E+10;0.46670440232350824
CLDN12;0.001584521305582077;-0.00038039213284256503;0.00012042294579467887;0.46670440232350824
AGPAT2;0.0016235704162951522;0.00015861121154503815;5,03E+10;0.4678096388519712
SPAG17;0.001638695113460774;9,56E+10;3,04E+11;0.4678096388519712
UTS2R;0.0017094489033378237;0.0003023796190280854;9,64E+10;0.4806141492475251
