genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
PCSK9;7,65E-30;-0.00300889425811855;0.00021407583751495928;1,42E-24
LDLR;2,04E-11;0.002724519607594507;0.00025110092734483415;1,89E-07
ABCA1;3,94E-11;-0.0012618170670939091;0.00011694648229088578;2,44E-07
LIPG;8,61E+03;0.0012038015834374511;0.00018548751476435757;4,00E+08
TM6SF2;2,78E+07;-0.0012371641026031573;0.00022269954345420018;0.00010302627514318664
SCARB1;1,65E+09;0.001129256154360847;0.0002156839087638414;0.00044214443690955487
LCAT;1,67E+09;-0.002080248163657814;0.0003975066029530842;0.00044214443690955487
SNX8;1,12E+10;0.0007091151917813531;0.00014560792010042062;0.002590817452176296
NKPD1;2,83E+10;-0.0010267030158622181;0.00021923965258303086;0.005833550324879528
UGT2B10;9,94E+09;-0.0010222713719850022;0.00023135733477055951;0.01764834097996257
SYPL2;1,05E+11;-0.0008770540045065847;0.0001989888416614508;0.01764834097996257
CLDN10;3,06E+10;0.0017186469779218285;0.00041226194703310946;0.0473725331353151
NPC1L1;3,68E+11;-0.0006334723660248461;0.0001534904613779326;0.04829196874081976
MRPL32;3,80E+10;-0.0004490562753531443;0.00010900354343681273;0.04829196874081976
ANGPTL3;3,90E+10;-0.0006793123478695299;0.00016515299948727239;0.04829196874081976
KLC4;6,19E+10;0.000736832275807513;0.00018395603440322247;0.07181441711780674
RTN4;0.00013239215422936035;-0.000502016992877468;0.00013134694897052037;0.1445099302282359
AANAT;0.00016764969914559701;-0.001477289667025024;0.00039253580786937064;0.172828212074761
ABCG5;0.00018272504229454526;0.0005431801895770949;0.0001451627031718685;0.1784550465693464
FGB;0.00020373351435125155;0.0006184815433115849;0.00016650752495635606;0.18902395461509117
DYM;0.00023232751731402135;-0.0006809397416657358;0.0001849834366855969;0.2041359198081407
FCGRT;0.000248919394456015;0.0007287757838748351;0.00019893100726150128;0.2041359198081407
NT5C3A;0.0002530246904282839;0.001107380638503238;0.00030262342500290545;0.2041359198081407
HSD17B2;0.00029897774201121427;-0.0008064017010155383;0.000222992567687391;0.2311596241983372
PRPF38A;0.0003193842428764571;0.001729134715483418;0.0004804307241895775;0.2370597604326215
RFX3;0.0004690818361113982;0.0011261194862616467;0.0003219418488593306;0.33478009811088866
ZFP28;0.0005571397172568008;0.0011452008886700647;0.0003317748332309325;0.36957292446674983
H1F0;0.0005576655467271499;-0.003691719334463345;0.001069602654176048;0.36957292446674983
PROC;0.000583718331869453;0.001389938534794349;0.00040415236310204644;0.3702474591322339
OR6C75;0.0005985893389721393;0.0016642705384065592;0.0004848809442227479;0.3702474591322339
PPWD1;0.0006592187588539296;0.0010271099598870227;0.0003015523576336633;0.38440684783746676
STAB1;0.0006862021714271709;0.000295236219335705;8,70E+10;0.38440684783746676
PACS1;0.0006938657348582536;-0.0011901253203497914;0.0003508557453906707;0.38440684783746676
PRKRA;0.0007043453775853562;-0.0014504457128095844;0.00042811838233002567;0.38440684783746676
MRGPRX2;0.0007264614773893808;0.0019562958791440196;0.000578877406423551;0.3851491192696386
AGPAT2;0.0007508806635181004;0.0008012403824384034;0.0002377310093262217;0.3870372664511631
ZC4H2;0.0008170863184763657;-0.004143687119662907;0.001238026105540925;0.40977983042290383
CREB5;0.0008465559821821565;0.000979184770547285;0.0002934171959708389;0.4133866527729499
UGT2B11;0.0008811498558180013;0.0005713174789890572;0.0001717717157660458;0.4135988829927824
HOXB8;0.0009087910753970224;0.0032839674533730015;0.0009899196807329135;0.4135988829927824
KIAA1328;0.0009498656547534703;-0.0012274434646705925;0.0003713856111316101;0.4135988829927824
RCN1;0.0010093527333703103;-0.0015359146861651486;0.00046713110394042194;0.4135988829927824
ADSS;0.0010160807788154418;0.0013711423855179948;0.00041725490450632166;0.4135988829927824
ATXN2L;0.001020856865554431;0.0005479930408454041;0.00016682786303253783;0.4135988829927824
UGT2B7;0.0010276539795706678;-0.0008780575816273904;0.000267463125135955;0.4135988829927824
ONECUT2;0.0010291489328385687;-0.00100976566620105;0.00030762083051378186;0.4135988829927824
ZNF212;0.0010739433262810173;-0.00043484499591220886;0.000132961057223425;0.4135988829927824
CACNB2;0.0011153355128440518;-0.0004518912329056714;0.0001386273007644377;0.4135988829927824
APOA1;0.0011289844236206075;-0.0011861221566731792;0.00036425406203146227;0.4135988829927824
SND1;0.001130996415990969;0.0007940793711678584;0.00024389692957365312;0.4135988829927824
ABCG8;0.0011581539990205003;0.0004170613865132828;0.0001283639080025513;0.4135988829927824
ABCG2;0.001177573132599031;0.0005357437687743297;0.00016513275625250757;0.4135988829927824
KCTD13;0.0011813289932430195;-0.0013858754899026917;0.0004272890512770563;0.4135988829927824
ZNF3;0.0012434418068089776;-0.0014601904164500547;0.0004522412241375705;0.42728344753976644
BNIP2;0.001277525661619229;0.0009564899981760025;0.0002969502953657445;0.4303397338688728
CLSTN2;0.001298718748472563;-0.0004185298770364792;0.00013012671820084593;0.4303397338688728
KMT5A;0.0014476722594537234;-0.0009794387646128535;0.00030751275507564233;0.4547245740474459
MFSD13A;0.0014892148702421218;-0.0007924725375311591;0.00024945327301504147;0.4547245740474459
RPL10;0.0014966141561686128;0.006417676804889345;0.0020210610619756588;0.4547245740474459
TNRC18;0.0015377831118738178;0.0003384222569151347;0.0001068414850596273;0.4547245740474459
OR8K5;0.001541819290233826;0.0008525160983082704;0.00026920809606195586;0.4547245740474459
HHLA2;0.0015662590246895553;0.0003992536787419305;0.00012625907278183165;0.4547245740474459
